#{"t_start": 1745691977.823762, "env_id": "None"}
r,l,t
1.0,3,7.010426
-1.5,4,7.010426
1.0,3,7.010426
-1.5,4,7.010426
1.0,4,7.021935
1.0,3,7.023059
1.0,4,7.025802
1.0,4,7.025802
-1.5,4,7.025802
1.0,3,7.025802
1.0,3,7.037913
-2.0,5,7.037913
-2.0,5,7.037913
-2.0,5,7.037913
1.0,3,7.037913
1.0,4,7.053685
1.0,3,7.053685
-1.5,5,7.053685
-1.5,3,7.053685
1.0,3,7.069492
1.0,3,7.07083
1.0,3,7.07083
1.0,3,7.07083
-2.0,5,7.077525
1.0,4,7.082089
1.0,3,7.085596
1.0,3,7.088442
1.0,4,7.088442
-1.5,4,7.088442
-1.5,5,7.088442
0.5,5,7.10156
1.0,3,7.10156
1.0,3,7.10156
-1.5,4,7.10156
-2.0,5,7.10156
1.0,3,7.118107
1.0,3,7.118107
1.0,4,7.123095
1.0,3,7.123095
1.0,3,7.123095
0.5,5,7.123095
1.0,3,7.134437
1.0,4,7.136353
1.0,4,7.140366
1.0,3,7.142372
-1.5,5,7.146385
1.0,3,7.14839
-2.0,5,7.150138
1.0,3,7.152144
-1.5,4,7.156159
-1.5,4,7.158165
1.0,3,7.162179
1.0,4,7.164186
-2.0,5,7.167942
1.0,3,7.169948
-2.0,5,7.173961
-1.5,4,7.175967
-1.5,4,7.17998
1.0,4,7.183358
1.0,3,7.184433
1.0,3,7.188195
1.0,3,7.188195
-2.0,5,7.194533
-1.5,4,7.19754
1.0,3,7.199693
1.0,3,7.202712
-2.0,5,7.202712
1.0,4,7.209646
1.0,3,7.211523
1.0,3,7.213849
-2.0,5,7.218063
-1.5,5,7.221203
1.0,3,7.221203
-1.5,3,7.221203
1.0,3,7.221203
1.0,3,7.229315
1.0,3,7.231321
1.0,3,7.231321
1.0,4,7.237023
-1.5,4,7.241183
1.0,3,7.243024
1.0,3,7.245201
1.0,4,7.24648
1.0,3,7.248304
-2.0,5,7.248304
-1.5,4,7.254866
1.0,3,7.254866
1.0,3,7.260879
1.0,4,7.263853
1.0,3,7.265859
1.0,3,7.265859
-1.5,3,7.270499
1.0,3,7.270499
1.0,4,7.270499
1.0,4,7.278016
-1.5,4,7.281034
-1.5,5,7.285349
-1.5,5,7.290447
-2.0,5,7.2926
-1.5,4,7.295599
-2.0,5,7.298599
1.0,4,7.302599
1.0,3,7.304479
1.0,3,7.306489
1.0,3,7.30883
1.0,4,7.312846
-2.0,5,7.316184
1.0,4,7.318595
1.0,3,7.320732
0.5,5,7.325058
1.0,3,7.325058
0.5,5,7.329745
1.0,4,7.331752
1.0,4,7.336717
1.0,4,7.338465
-2.0,5,7.342062
-2.0,5,7.344068
-1.5,4,7.344068
1.0,3,7.352454
1.0,4,7.354203
-2.0,5,7.359396
-2.0,5,7.361442
1.0,3,7.361442
1.0,4,7.366193
1.0,3,7.366193
-1.5,5,7.37221
-1.5,5,7.374215
1.0,3,7.374215
-1.5,3,7.380079
-2.0,5,7.380079
-1.5,4,7.387949
1.0,3,7.389967
1.0,3,7.390968
1.0,3,7.392489
-1.5,3,7.394896
1.0,4,7.397909
-1.5,4,7.399462
1.0,3,7.402205
-2.0,5,7.408135
1.0,3,7.41136
1.0,3,7.413849
1.0,3,7.41594
1.0,4,7.419354
1.0,3,7.421846
1.0,3,7.423845
1.0,3,7.426386
1.0,4,7.42907
1.0,3,7.43207
1.0,4,7.435751
-2.0,5,7.438752
1.0,4,7.44241
1.0,3,7.445524
1.0,3,7.448097
1.0,3,7.450471
-2.0,5,7.454629
1.0,3,7.456713
-2.0,5,7.458712
1.0,3,7.460712
-1.5,5,7.464449
1.0,4,7.466456
1.0,3,7.466456
1.0,3,7.466456
-1.5,4,7.466456
1.0,3,7.477398
-2.0,5,7.477398
1.0,4,7.477398
-1.5,3,7.477398
-1.5,5,7.477398
1.0,4,7.493507
-2.0,5,7.497989
1.0,3,7.497989
1.0,4,7.497989
1.0,3,7.497989
1.0,4,7.5107
-2.0,5,7.514989
1.0,3,7.516727
-1.5,3,7.516727
-1.5,5,7.525221
1.0,3,7.525221
1.0,3,7.525221
1.0,4,7.525221
1.0,3,7.525221
1.0,3,7.525221
1.0,3,7.541149
1.0,3,7.541149
1.0,4,7.546798
1.0,3,7.552339
1.0,3,7.554095
1.0,3,7.557101
1.0,3,7.559644
-2.0,5,7.562058
1.0,4,7.562058
1.0,4,7.562058
-1.5,5,7.573084
1.0,4,7.578315
1.0,3,7.578315
1.0,3,7.582999
