#{"t_start": 1745253351.5472279, "env_id": "None"}
r,l,t
1.0,5,6.792934
1.0,4,6.797314
1.0,4,6.797314
1.0,3,6.797314
-1.0,4,6.806283
1.0,3,6.808671
-1.0,4,6.812745
1.0,5,6.817584
1.0,3,6.819591
1.0,4,6.823226
-1.0,4,6.827337
1.0,4,6.829113
1.0,4,6.829113
-1.0,4,6.837249
1.0,4,6.840778
1.0,4,6.845514
0.5,5,6.853584
1.0,3,6.857231
-1.0,3,6.860997
1.0,3,6.863336
-1.0,4,6.867562
1.0,4,6.870577
1.0,5,6.875309
-1.0,3,6.878522
1.0,5,6.882525
0.5,5,6.887619
-1.0,3,6.889781
0.5,5,6.891907
1.0,4,6.897825
1.0,3,6.897825
0.5,5,6.905342
1.0,4,6.907135
-1.0,3,6.907135
1.0,5,6.916443
0.5,5,6.920467
1.0,5,6.925596
1.0,4,6.929612
0.5,5,6.932919
1.0,3,6.936438
1.0,4,6.940674
-1.0,4,6.940674
1.0,4,6.947329
-1.0,4,6.947329
1.0,5,6.955622
-1.0,4,6.956633
1.0,4,6.956633
-1.0,4,6.966521
1.0,5,6.969532
-1.0,4,6.976457
1.0,4,6.976457
1.0,4,6.982735
1.0,4,6.987496
1.0,5,6.987496
1.0,5,6.995328
1.0,3,6.997462
0.5,5,7.001537
-1.0,3,7.001537
1.0,5,7.007787
-1.0,3,7.007787
1.0,4,7.015287
1.0,4,7.020195
1.0,5,7.024215
1.0,5,7.028261
1.0,4,7.045716
0.5,5,7.052182
1.0,3,7.054182
1.0,3,7.058236
1.0,5,7.062236
-1.0,4,7.066254
1.0,5,7.067409
1.0,4,7.067409
1.0,4,7.077229
1.0,4,7.077229
1.0,5,7.085491
1.0,5,7.087607
1.0,5,7.087607
1.0,3,7.096173
1.0,5,7.101275
1.0,4,7.105455
1.0,3,7.108
1.0,4,7.111
-1.0,3,7.114
1.0,3,7.117453
-1.0,4,7.119827
0.5,5,7.126178
-1.0,4,7.130201
